,edge_type,pwi,segment 1 pwi,segment 2 pwi,segment 3 pwi,segment 4 pwi,segment 5 pwi,segment 6 pwi,segment 7 pwi,segment 8 pwi,segments,sink,sink_collection_date,sink_country,sink_host_species,sink_reassortant,sink_state,sink_subtype,source,source_collection_date,source_country,source_host_species,source_reassortant,source_state,source_subtype
214,reassortant,7.792513,0.972441,0.964054,,0.97835,,,0.978873,0.974566,"{8: 0.97456600000000004, 1: 0.972441, 2: 0.96405399999999997, 4: 0.97835000000000005, 7: 0.97887299999999999}",A/mallard/New Jersey/Sg-00884/2008,2008-09-22,USA,Mallard/Avian,True,New Jersey,H11N2,A/green winged teal/California/AKS1305/2008,2008-01-26,USA,Green-Winged Teal/Avian,False,California,H11N9
215,full_complement,7.792447999999999,0.95492,0.939119,0.943964,0.995389,0.985621,0.997902,0.979042,0.996491,"{1: 0.95491999999999999, 2: 0.93911900000000004, 3: 0.94396400000000003, 4: 0.99538899999999997, 5: 0.98562099999999997, 6: 0.99790199999999996, 7: 0.97904199999999997, 8: 0.99649100000000002}",A/northern shoveler/California/8675/2008,2008-10-29,USA,Northern Shoveler/Avian,False,California,H11N9,A/green winged teal/California/AKS1305/2008,2008-01-26,USA,Green-Winged Teal/Avian,False,California,H11N9
216,full_complement,7.729544,0.981361,0.963542,0.984601,0.947154,0.949902,0.967922,0.972056,0.963006,"{1: 0.98136100000000004, 2: 0.96354200000000001, 3: 0.98460099999999995, 4: 0.94715400000000005, 5: 0.94990200000000002, 6: 0.96792199999999995, 7: 0.97205600000000003, 8: 0.96300600000000003}",A/mallard/Ohio/12OS2351/2012,2012-09-01,USA,Blue-Winged Teal/Avian,False,Ohio,H3N6,A/mallard/Wisconsin/10OS3866/2010,2010-11-13,USA,Mallard/Avian,False,Wisconsin,H3N6
217,full_complement,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}",A/American black duck/New Brunswick/02656/2007,2007-09-24,Canada,American Black Duck/Avian,False,New Brunswick,H3N8,A/green-winged teal/New Brunswick/02596/2007,2007-09-20,Canada,Green-Winged Teal/Avian,True,New Brunswick,H3N8
218,full_complement,7.834337,0.964752,0.991714,0.986413,0.994828,0.936767,0.99234,0.998004,0.969519,"{1: 0.96475200000000005, 2: 0.99171399999999998, 3: 0.98641299999999998, 4: 0.99482800000000005, 5: 0.93676700000000002, 6: 0.99234, 7: 0.998004, 8: 0.96951900000000002}",A/blue-winged teal/Prince Edward Island/03927/2009,2009-08-19,Canada,Blue-Winged Teal/Avian,False,Prince Edward Island,H3N8,A/green-winged teal/New Brunswick/02596/2007,2007-09-20,Canada,Green-Winged Teal/Avian,True,New Brunswick,H3N8
219,full_complement,7.704832,0.993473,0.990933,0.962385,0.925862,0.94401,0.952583,0.976048,0.959538,"{1: 0.99347300000000005, 2: 0.99093299999999995, 3: 0.96238500000000005, 4: 0.92586199999999996, 5: 0.94401000000000002, 6: 0.95258299999999996, 7: 0.97604800000000003, 8: 0.959538}",A/mallard/New Jersey/Sg-00892/2008,2008-09-20,USA,Mallard/Avian,False,New Jersey,H3N8,A/green-winged teal/New Brunswick/02596/2007,2007-09-20,Canada,Green-Winged Teal/Avian,True,New Brunswick,H3N8
220,reassortant,7.687473000000001,0.941253,,0.977355,,,,0.997006,0.996532,"{8: 0.99653199999999997, 1: 0.94125300000000001, 3: 0.97735499999999997, 7: 0.99700599999999995}",A/American black duck/New Brunswick/03534/2009,2009-09-10,Canada,American Black Duck/Avian,True,New Brunswick,H4N6,A/green-winged teal/New Brunswick/02596/2007,2007-09-20,Canada,Green-Winged Teal/Avian,True,New Brunswick,H3N8
221,full_complement,7.70373,0.993037,0.990842,0.962385,0.925287,0.94401,0.952583,0.976048,0.959538,"{1: 0.99303699999999995, 2: 0.990842, 3: 0.96238500000000005, 4: 0.92528699999999997, 5: 0.94401000000000002, 6: 0.95258299999999996, 7: 0.97604800000000003, 8: 0.959538}",A/mallard/New Jersey/Sg-00895/2008,2008-09-20,USA,Mallard/Avian,False,New Jersey,H3N8,A/green-winged teal/New Brunswick/02596/2007,2007-09-20,Canada,Green-Winged Teal/Avian,True,New Brunswick,H3N8
222,reassortant,7.747775000000001,0.962141,,0.984149,,0.955758,,0.976048,0.996532,"{8: 0.99653199999999997, 1: 0.96214100000000002, 3: 0.98414900000000005, 5: 0.955758, 7: 0.97604800000000003}",A/shorebird/Delaware Bay/351/2009,2009-05-20,USA,Shorebird/Avian,True,Delaware Bay,H1N9,A/green-winged teal/New Brunswick/02596/2007,2007-09-20,Canada,Green-Winged Teal/Avian,True,New Brunswick,H3N8
223,full_complement,7.737126,0.969658,0.972366,0.932065,0.98069,0.946649,0.981882,0.98503,0.968786,"{1: 0.96965800000000002, 2: 0.97236599999999995, 3: 0.93206500000000003, 4: 0.98068999999999995, 5: 0.94664899999999996, 6: 0.98188200000000003, 7: 0.98502999999999996, 8: 0.96878600000000004}",A/mallard/Mississippi/12OS361/2012,2012-01-17,USA,Mallard/Avian,False,Mississippi,H11N9,A/mallard/Iowa/10OS2752/2010,2010-10-17,USA,Mallard/Avian,False,Iowa,H11N9
224,full_complement,7.759459,0.955095,0.981865,0.983197,0.965477,0.985065,0.946554,0.978044,0.964162,"{1: 0.95509500000000003, 2: 0.98186499999999999, 3: 0.98319699999999999, 4: 0.96547700000000003, 5: 0.98506499999999997, 6: 0.94655400000000001, 7: 0.97804400000000002, 8: 0.96416199999999996}",A/mallard/California/198/2012,2012-01-07,USA,Mallard/Avian,False,California,H11N9,A/mallard/Iowa/10OS2752/2010,2010-10-17,USA,Mallard/Avian,False,Iowa,H11N9
225,full_complement,7.740258000000001,0.954231,0.96875,0.981431,0.983616,0.919481,0.983972,0.973054,0.975723,"{1: 0.95423100000000005, 2: 0.96875, 3: 0.98143100000000005, 4: 0.98361600000000005, 5: 0.91948099999999999, 6: 0.98397199999999996, 7: 0.97305399999999997, 8: 0.97572300000000001}",A/mallard/Wisconsin/10OS4194/2010,2010-11-30,USA,Mallard/Avian,False,Wisconsin,H11N9,A/mallard/Iowa/10OS2752/2010,2010-10-17,USA,Mallard/Avian,False,Iowa,H11N9
226,full_complement,7.751313000000001,0.981865,0.97323,0.932971,0.971913,0.990909,0.940928,0.971058,0.988439,"{1: 0.98186499999999999, 2: 0.97323000000000004, 3: 0.93297099999999999, 4: 0.97191300000000003, 5: 0.99090900000000004, 6: 0.94092799999999999, 7: 0.97105799999999998, 8: 0.98843899999999996}",A/mallard/Wisconsin/10OS4193/2010,2010-11-30,USA,Mallard/Avian,False,Wisconsin,H11N9,A/mallard/Iowa/10OS2752/2010,2010-10-17,USA,Mallard/Avian,False,Iowa,H11N9
227,full_complement,7.7561290000000005,0.946028,0.974525,0.996377,0.896714,0.951792,0.995101,0.997976,0.997616,"{1: 0.94602799999999998, 2: 0.97452499999999997, 3: 0.99637699999999996, 4: 0.89671400000000001, 5: 0.95179199999999997, 6: 0.99510100000000001, 7: 0.99797599999999997, 8: 0.99761599999999995}",A/blue-winged teal/Prince Edward Island/00844/2010,2010-09-03,Canada,Blue-Winged Teal/Avian,False,Prince Edward Island,H4N9,A/mallard/New Jersey/AI09-6426/2009,2009-09-28,USA,Mallard/Avian,False,New Jersey,H4N9
228,reassortant,7.875154,0.988596,0.990325,0.95444,0.99292,,0.987943,,0.995227,"{1: 0.98859600000000003, 2: 0.99032500000000001, 3: 0.95443999999999996, 4: 0.99292000000000002, 6: 0.98794300000000002, 8: 0.99522699999999997}",A/duck/Guangdong/S1123/2012,2012-03-07,China,Duck/Avian,True,Guangdong,H4N2,A/duck/Guangdong/S4040/2011,2011-11-22,China,Duck/Avian,False,Guangdong,H4N2
229,reassortant,7.814568000000001,0.939035,0.993404,0.991632,,0.991984,0.990071,,0.990453,"{1: 0.93903499999999995, 2: 0.99340399999999995, 3: 0.99163199999999996, 5: 0.99198399999999998, 6: 0.99007100000000003, 8: 0.99045300000000003}",A/duck/Guangdong/W12/2011,2011-12-22,China,Duck/Avian,True,Guangdong,H3N2,A/duck/Guangdong/S4040/2011,2011-11-22,China,Duck/Avian,False,Guangdong,H4N2
230,full_complement,7.8574139999999995,0.991228,0.991205,0.990237,0.96019,0.9799599999999999,0.975732,0.986762,0.9821,"{1: 0.991228, 2: 0.991205, 3: 0.99023700000000003, 4: 0.96018999999999999, 5: 0.97995999999999994, 6: 0.97573200000000004, 7: 0.98676200000000003, 8: 0.98209999999999997}",A/chicken/Jiangsu/JT34/2011,2011-03-02,China,Chicken/Avian,False,Jiangsu,H9N2,A/chicken/China/AH-10-01/2010,2010-12-02,,Chicken/Avian,False,China,H9N2
231,full_complement,7.758893,0.980777,0.90629,0.991491,0.963261,0.984665,0.979749,0.986368,0.966292,"{1: 0.98077700000000001, 2: 0.90629000000000004, 3: 0.99149100000000001, 4: 0.96326100000000003, 5: 0.98466500000000001, 6: 0.97974899999999998, 7: 0.98636800000000002, 8: 0.96629200000000004}",A/chicken/Hunan/1/2012,2012-02-01,China,Chicken/Avian,False,Hunan,H9N2,A/chicken/China/AH-10-01/2010,2010-12-02,,Chicken/Avian,False,China,H9N2
232,full_complement,7.785405,0.972368,0.967458,0.966992,0.988116,0.984636,0.965025,0.96945,0.97136,"{1: 0.97236800000000001, 2: 0.96745800000000004, 3: 0.96699199999999996, 4: 0.98811599999999999, 5: 0.98463599999999996, 6: 0.96502500000000002, 7: 0.96945000000000003, 8: 0.97136}",A/chicken/Chongqing/C1258/2011,2011-03-20,China,Chicken/Avian,False,Chongqing,H9N2,A/chicken/China/AH-10-01/2010,2010-12-02,,Chicken/Avian,False,China,H9N2
233,reassortant,7.862601000000001,0.980061,,,0.96909,,0.98178,0.983034,,"{1: 0.98006099999999996, 4: 0.96909000000000001, 6: 0.98177999999999999, 7: 0.98303399999999996}",A/mallard/Minnesota/AI09-2518/2009,2009-09-06,USA,Mallard/Avian,True,Minnesota,H2N3,A/mallard/Wisconsin/08OS2841/2008,2008-10-31,USA,Mallard/Avian,True,Wisconsin,H2N3
234,reassortant,7.837905,0.986563,,0.989357,,,,,0.968786,"{8: 0.96878600000000004, 1: 0.98656299999999997, 3: 0.98935700000000004}",A/mallard/Ohio/11OS1966/2011,2011-08-01,USA,Mallard/Avian,True,Ohio,H10N3,A/mallard/Wisconsin/08OS2841/2008,2008-10-31,USA,Mallard/Avian,True,Wisconsin,H2N3
235,reassortant,7.849043000000001,,0.971071,0.990942,,,0.982407,,,"{2: 0.97107100000000002, 3: 0.99094199999999999, 6: 0.98240700000000003}",A/American black duck/Wisconsin/10OS3949/2010,2010-11-18,USA,American Black Duck/Avian,True,Wisconsin,H7N8,A/blue-winged teal/Guatemala/CIP049-05/2010,2010-01-31,,Blue-Winged Teal/Avian,False,Guatemala,H3N8
236,full_complement,7.996292,1.0,1.0,1.0,1.0,1.0,0.998604,1.0,0.997688,"{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 0.99860400000000005, 7: 1.0, 8: 0.99768800000000002}",A/shorebird/Delaware Bay/139/2009,2009-05-20,USA,Shorebird/Avian,False,Delaware Bay,H10N7,A/shorebird/Delaware Bay/55/2009,2009-05-15,USA,Shorebird/Avian,False,Delaware Bay,H10N7
237,full_complement,7.986025000000001,0.9987,0.997831,0.998641,0.998826,0.998047,0.998604,1.0,0.995376,"{1: 0.99870000000000003, 2: 0.99783100000000002, 3: 0.998641, 4: 0.99882599999999999, 5: 0.99804700000000002, 6: 0.99860400000000005, 7: 1.0, 8: 0.99537600000000004}",A/ruddy turnstone/New Jersey/AI09-342/2009,2009-05-20,USA,Ruddy Turnstone/Avian,False,New Jersey,H10N7,A/shorebird/Delaware Bay/55/2009,2009-05-15,USA,Shorebird/Avian,False,Delaware Bay,H10N7
238,full_complement,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}",A/shorebird/Delaware Bay/250/2009,2009-05-20,USA,Shorebird/Avian,False,Delaware Bay,H10N7,A/shorebird/Delaware Bay/55/2009,2009-05-15,USA,Shorebird/Avian,False,Delaware Bay,H10N7
239,full_complement,7.925904,0.984789,0.996528,0.983644,0.997665,0.968831,0.997915,1.0,0.996532,"{1: 0.98478900000000003, 2: 0.99652799999999997, 3: 0.98364399999999996, 4: 0.99766500000000002, 5: 0.968831, 6: 0.997915, 7: 1.0, 8: 0.99653199999999997}",A/American green-winged teal/Ohio/12OS2137/2012,2012-09-07,USA,American Green-Winged Teal/Avian,False,Ohio,H4N6,A/blue-winged teal/Ohio/12OS2106/2012,2012-09-01,USA,Blue-Winged Teal/Avian,False,Ohio,H4N6
240,full_complement,7.832806,0.9939,0.9661690000000001,0.994565,0.992966,0.942057,0.997199,0.947106,0.998844,"{1: 0.99390000000000001, 2: 0.96616900000000006, 3: 0.99456500000000003, 4: 0.99296600000000002, 5: 0.94205700000000003, 6: 0.99719899999999995, 7: 0.947106, 8: 0.99884399999999995}",A/northern pintail/Illinois/10OS3959/2010,2010-11-21,USA,Northern Pintail/Avian,False,Illinois,H7N3,A/mallard/Alberta/167/2010,2010-08-12,Canada,Mallard/Avian,False,Alberta,H7N3
241,full_complement,7.6909600000000005,0.945817,0.931769,0.968579,0.98056,0.945455,0.992334,0.968064,0.958382,"{1: 0.94581700000000002, 2: 0.93176899999999996, 3: 0.96857899999999997, 4: 0.98055999999999999, 5: 0.94545500000000005, 6: 0.99233400000000005, 7: 0.96806400000000004, 8: 0.95838199999999996}",A/ruddy turnstone/New Jersey/AI09-837/2009,2009-05-29,USA,Ruddy Turnstone/Avian,False,New Jersey,H1N9,A/shorebird/Delaware Bay/351/2009,2009-05-20,USA,Shorebird/Avian,True,Delaware Bay,H1N9
242,full_complement,7.996494,1.0,0.999568,1.0,0.999428,0.999351,0.999303,1.0,0.998844,"{1: 1.0, 2: 0.99956800000000001, 3: 1.0, 4: 0.99942799999999998, 5: 0.99935099999999999, 6: 0.99930300000000005, 7: 1.0, 8: 0.99884399999999995}",A/ruddy turnstone/New Jersey/AI09-618/2009,2009-05-26,USA,Ruddy Turnstone/Avian,False,New Jersey,H1N9,A/shorebird/Delaware Bay/351/2009,2009-05-20,USA,Shorebird/Avian,True,Delaware Bay,H1N9
243,reassortant,7.842881,0.981361,,,0.963848,,,0.976048,0.976879,"{8: 0.97687900000000005, 1: 0.98136100000000004, 4: 0.96384800000000004, 7: 0.97604800000000003}",A/northern shoveler/California/3676/2010,2010-12-15,USA,Northern Shoveler/Avian,True,California,H8N2,A/northern shoveler/Interior Alaska/9BM2925R0/2009,2009-07-16,USA,Northern Shoveler/Avian,False,Interior Alaska,H8N4
244,full_complement,7.999414,1.0,1.0,1.0,0.999414,1.0,1.0,1.0,1.0,"{1: 1.0, 2: 1.0, 3: 1.0, 4: 0.99941400000000002, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}",A/mallard/Interior Alaska/10BM07085R0/2010,2010-08-01,USA,Mallard/Avian,False,Interior Alaska,H7N3,A/mallard/Interior Alaska/10BM06911R0/2010,2010-07-31,USA,Mallard/Avian,False,Interior Alaska,H7N3
245,full_complement,7.998258,1.0,1.0,1.0,0.999414,1.0,1.0,1.0,0.998844,"{1: 1.0, 2: 1.0, 3: 1.0, 4: 0.99941400000000002, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.99884399999999995}",A/northern pintail/Interior Alaska/10BM07469R0/2010,2010-08-02,USA,Northern Pintail/Avian,False,Interior Alaska,H7N3,A/mallard/Interior Alaska/10BM06911R0/2010,2010-07-31,USA,Mallard/Avian,False,Interior Alaska,H7N3
246,full_complement,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}",A/mallard/Interior Alaska/10BM07501R0/2010,2010-08-02,USA,Mallard/Avian,False,Interior Alaska,H7N3,A/mallard/Interior Alaska/10BM06911R0/2010,2010-07-31,USA,Mallard/Avian,False,Interior Alaska,H7N3
247,full_complement,7.997784,0.999567,0.999566,1.0,1.0,0.999351,0.9993,1.0,1.0,"{1: 0.99956699999999998, 2: 0.99956599999999995, 3: 1.0, 4: 1.0, 5: 0.99935099999999999, 6: 0.99929999999999997, 7: 1.0, 8: 1.0}",A/mallard/Interior Alaska/10BM08100R0/2010,2010-08-04,USA,Mallard/Avian,False,Interior Alaska,H7N3,A/mallard/Interior Alaska/10BM06911R0/2010,2010-07-31,USA,Mallard/Avian,False,Interior Alaska,H7N3
248,full_complement,7.998714,1.0,1.0,1.0,0.999414,1.0,0.9993,1.0,1.0,"{1: 1.0, 2: 1.0, 3: 1.0, 4: 0.99941400000000002, 5: 1.0, 6: 0.99929999999999997, 7: 1.0, 8: 1.0}",A/northern pintail/Interior Alaska/10BM07106R0/2010,2010-08-01,USA,Northern Pintail/Avian,False,Interior Alaska,H7N3,A/mallard/Interior Alaska/10BM06911R0/2010,2010-07-31,USA,Mallard/Avian,False,Interior Alaska,H7N3
249,full_complement,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}",A/northern pintail/Interior Alaska/10BM07114R0/2010,2010-08-01,USA,Northern Pintail/Avian,False,Interior Alaska,H7N3,A/mallard/Interior Alaska/10BM06911R0/2010,2010-07-31,USA,Mallard/Avian,False,Interior Alaska,H7N3
250,full_complement,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}",A/mallard/Interior Alaska/10BM07092R0/2010,2010-08-01,USA,Mallard/Avian,False,Interior Alaska,H7N3,A/mallard/Interior Alaska/10BM06911R0/2010,2010-07-31,USA,Mallard/Avian,False,Interior Alaska,H7N3
251,full_complement,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}",A/American green-winged teal/Interior Alaska/9BM3595R1/2009,2009-07-23,USA,Green-Winged Teal/Avian,False,Interior Alaska,H10N7,A/mallard/Interior Alaska/9BM3076R0/2009,2009-07-18,USA,Mallard/Avian,False,Interior Alaska,H10N7
252,full_complement,7.9994130000000006,1.0,1.0,1.0,0.999413,1.0,1.0,1.0,1.0,"{1: 1.0, 2: 1.0, 3: 1.0, 4: 0.999413, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}",A/mallard/Interior Alaska/9BM3355R0/2009,2009-07-21,USA,Mallard/Avian,False,Interior Alaska,H10N7,A/mallard/Interior Alaska/9BM3076R0/2009,2009-07-18,USA,Mallard/Avian,False,Interior Alaska,H10N7
253,full_complement,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}",A/mallard/Interior Alaska/9BM3379R0/2009,2009-07-22,USA,Mallard/Avian,False,Interior Alaska,H10N7,A/mallard/Interior Alaska/9BM3076R0/2009,2009-07-18,USA,Mallard/Avian,False,Interior Alaska,H10N7
254,full_complement,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}",A/mallard/Interior Alaska/9BM3361R0/2009,2009-07-21,USA,Mallard/Avian,False,Interior Alaska,H10N7,A/mallard/Interior Alaska/9BM3076R0/2009,2009-07-18,USA,Mallard/Avian,False,Interior Alaska,H10N7
255,full_complement,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}",A/mallard/Interior Alaska/9BM3357R0/2009,2009-07-21,USA,Mallard/Avian,False,Interior Alaska,H10N7,A/mallard/Interior Alaska/9BM3076R0/2009,2009-07-18,USA,Mallard/Avian,False,Interior Alaska,H10N7
256,full_complement,7.999115,0.999568,1.0,0.999547,1.0,1.0,1.0,1.0,1.0,"{1: 0.99956800000000001, 2: 1.0, 3: 0.99954699999999996, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}",A/mallard/Interior Alaska/9BM1965/2009,2009-07-06,USA,Mallard/Avian,False,Interior Alaska,H4N6,A/mallard/Interior Alaska/9BM1869/2009,2009-07-01,USA,Mallard/Avian,False,Interior Alaska,H4N6
257,full_complement,7.997095,0.999568,0.999568,1.0,1.0,0.999351,0.998608,1.0,1.0,"{1: 0.99956800000000001, 2: 0.99956800000000001, 3: 1.0, 4: 1.0, 5: 0.99935099999999999, 6: 0.99860800000000005, 7: 1.0, 8: 1.0}",A/mallard/Interior Alaska/9BM2077/2009,2009-07-09,USA,Mallard/Avian,False,Interior Alaska,H4N6,A/mallard/Interior Alaska/9BM1869/2009,2009-07-01,USA,Mallard/Avian,False,Interior Alaska,H4N6
258,full_complement,7.998608,1.0,1.0,1.0,1.0,1.0,0.998608,1.0,1.0,"{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 0.99860800000000005, 7: 1.0, 8: 1.0}",A/mallard/Interior Alaska/9BM1856/2009,2009-07-02,USA,Mallard/Avian,False,Interior Alaska,H4N6,A/mallard/Interior Alaska/9BM1869/2009,2009-07-01,USA,Mallard/Avian,False,Interior Alaska,H4N6
259,full_complement,7.99681,1.0,0.999568,0.999094,1.0,1.0,0.999304,1.0,0.998844,"{1: 1.0, 2: 0.99956800000000001, 3: 0.99909400000000004, 4: 1.0, 5: 1.0, 6: 0.99930399999999997, 7: 1.0, 8: 0.99884399999999995}",A/mallard/Interior Alaska/9BM1964/2009,2009-07-06,USA,Mallard/Avian,False,Interior Alaska,H4N6,A/mallard/Interior Alaska/9BM1869/2009,2009-07-01,USA,Mallard/Avian,False,Interior Alaska,H4N6
260,full_complement,7.999568,0.999568,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{1: 0.99956800000000001, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}",A/mallard/Interior Alaska/9BM1967/2009,2009-07-06,USA,Mallard/Avian,False,Interior Alaska,H4N6,A/mallard/Interior Alaska/9BM1869/2009,2009-07-01,USA,Mallard/Avian,False,Interior Alaska,H4N6
261,full_complement,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}",A/mallard/Interior Alaska/9BM1959/2009,2009-07-04,USA,Mallard/Avian,False,Interior Alaska,H4N6,A/mallard/Interior Alaska/9BM1869/2009,2009-07-01,USA,Mallard/Avian,False,Interior Alaska,H4N6
262,full_complement,7.756524,0.951886,0.945164,0.976288,0.974795,0.991503,0.97493,0.977046,0.964912,"{1: 0.95188600000000001, 2: 0.945164, 3: 0.97628800000000004, 4: 0.97479499999999997, 5: 0.99150300000000002, 6: 0.97492999999999996, 7: 0.97704599999999997, 8: 0.96491199999999999}",A/ruddy turnstone/New Jersey/AI11-1678/2011,2011-05-24,USA,Ruddy Turnstone/Avian,False,New Jersey,H7N7,A/American green-winged teal/Mississippi/09OS046/2009,2009-01-09,USA,Green-Winged Teal/Avian,False,Mississippi,H7N7
263,full_complement,7.729202000000001,0.956353,0.966623,0.944293,0.967175,0.966883,0.972841,0.993184,0.96185,"{1: 0.95635300000000001, 2: 0.96662300000000001, 3: 0.94429300000000005, 4: 0.96717500000000001, 5: 0.96688300000000005, 6: 0.97284099999999996, 7: 0.99318399999999996, 8: 0.96184999999999998}",A/American green winged teal/Mississippi/A00468514/2009,2009-01-24,USA,Green-Winged Teal/Avian,False,Mississippi,H7N7,A/American green winged teal/Utah/A00468772/2009,2009-01-16,USA,Green-Winged Teal/Avian,True,Utah,H7N7
264,full_complement,7.796322999999999,0.96619,0.992204,0.98279,0.962963,0.984416,0.957521,0.993014,0.957225,"{1: 0.96618999999999999, 2: 0.99220399999999997, 3: 0.98279000000000005, 4: 0.96296300000000001, 5: 0.98441599999999996, 6: 0.95752099999999996, 7: 0.99301399999999995, 8: 0.95722499999999999}",A/mallard/Ohio/11OS2145/2011,2011-08-15,USA,Mallard/Avian,False,Ohio,H10N7,A/mallard/Mississippi/329/2010,2010-01-16,USA,Mallard/Avian,False,Mississippi,H10N7
265,full_complement,7.826368,0.990897,0.994803,0.970562,0.984733,0.944047,0.986778,0.99501,0.959538,"{1: 0.99089700000000003, 2: 0.99480299999999999, 3: 0.97056200000000004, 4: 0.98473299999999997, 5: 0.94404699999999997, 6: 0.98677800000000004, 7: 0.99500999999999995, 8: 0.959538}",A/mallard-black duck hybrid/New Brunswick/00904/2010,2010-09-14,Canada,Mallard-Black Duck Hybrid/Avian,False,New Brunswick,H10N7,A/mallard/Mississippi/329/2010,2010-01-16,USA,Mallard/Avian,False,Mississippi,H10N7
266,full_complement,7.825141,0.990897,0.994803,0.970562,0.984733,0.94282,0.986778,0.99501,0.959538,"{1: 0.99089700000000003, 2: 0.99480299999999999, 3: 0.97056200000000004, 4: 0.98473299999999997, 5: 0.94281999999999999, 6: 0.98677800000000004, 7: 0.99500999999999995, 8: 0.959538}",A/American black duck/New Brunswick/00909/2010,2010-09-14,Canada,American Black Duck/Avian,False,New Brunswick,H10N7,A/mallard/Mississippi/329/2010,2010-01-16,USA,Mallard/Avian,False,Mississippi,H10N7
267,full_complement,7.826331000000001,0.990897,0.994803,0.970562,0.984733,0.944047,0.986741,0.99501,0.959538,"{1: 0.99089700000000003, 2: 0.99480299999999999, 3: 0.97056200000000004, 4: 0.98473299999999997, 5: 0.94404699999999997, 6: 0.98674099999999998, 7: 0.99500999999999995, 8: 0.959538}",A/American black duck/New Brunswick/00906/2010,2010-09-14,Canada,American Black Duck/Avian,False,New Brunswick,H10N7,A/mallard/Mississippi/329/2010,2010-01-16,USA,Mallard/Avian,False,Mississippi,H10N7
268,full_complement,7.626295,0.916305,0.942832,0.957175,0.970228,0.951634,0.930362,0.982036,0.975723,"{1: 0.91630500000000004, 2: 0.942832, 3: 0.957175, 4: 0.97022799999999998, 5: 0.95163399999999998, 6: 0.93036200000000002, 7: 0.98203600000000002, 8: 0.97572300000000001}",A/mallard/New Jersey/Sg-00760/2008,2008-09-21,USA,Mallard/Avian,False,New Jersey,H4N6,A/duck/Interior Alaska/7MP1550/2007,2007-09-01,USA,Duck/Avian,False,Interior Alaska,H4N6
269,full_complement,7.624775,0.915872,0.942832,0.957175,0.969644,0.952288,0.930362,0.982036,0.974566,"{1: 0.91587200000000002, 2: 0.942832, 3: 0.957175, 4: 0.96964399999999995, 5: 0.95228800000000002, 6: 0.93036200000000002, 7: 0.98203600000000002, 8: 0.97456600000000004}",A/mallard/New Jersey/Sg-00966/2008,2008-09-21,USA,Mallard/Avian,False,New Jersey,H4N6,A/duck/Interior Alaska/7MP1550/2007,2007-09-01,USA,Duck/Avian,False,Interior Alaska,H4N6
